name,type,full_address,city,country,latitude,longitude,rating,reviews,reviews_per_score_1,reviews_per_score_2,reviews_per_score_3,reviews_per_score_4,reviews_per_score_5,range
Hard Rock Cafe Amsterdam,American restaurant,"Max Euweplein 57-61, 1017 MA Amsterdam",Amsterdam,Netherlands,52.3620587,4.8829907,4.3,18327.0,515.0,668.0,2120.0,5031.0,9993.0,€€€
Pllek,Restaurant,"T.T. Neveritaweg 59, 1033 WB Amsterdam",Amsterdam,Netherlands,52.3991581,4.8928756,4.4,7077.0,190.0,168.0,506.0,2012.0,4201.0,€€
A'DAM Tower,Restaurant,"Overhoeksplein 1, 1031 KS Amsterdam",Amsterdam,Netherlands,52.3837799,4.9022367,4.6,6214.0,64.0,71.0,334.0,1373.0,4372.0,
Leonardo Hotel Amsterdam Rembrandtpark,Hotel,"Staalmeesterslaan 410, 1057 PH Amsterdam",Amsterdam,Netherlands,52.3681227,4.8440078,4.2,3904.0,183.0,152.0,414.0,1267.0,1888.0,
Noorderlicht Café,Restaurant,"NDSM-Plein 102, 1033 WB Amsterdam",Amsterdam,Netherlands,52.399572,4.896833,4.3,3297.0,83.0,81.0,283.0,1009.0,1841.0,€€
Excalibur Café,Pub,"Oudezijds Achterburgwal 48, 1012 DP Amsterdam",Amsterdam,Netherlands,52.37402969999999,4.899365899999999,4.6,3101.0,43.0,32.0,190.0,659.0,2177.0,€€
XO Hotels Couture,Hotel,"Delflandlaan 15, 1062 EA Amsterdam",Amsterdam,Netherlands,52.3511547,4.8414231,4.4,2705.0,75.0,42.0,160.0,755.0,1673.0,
THE BUTCHER Social Club,Hamburger restaurant,"Overhoeksplein 1, 1031 KS Amsterdam",Amsterdam,Netherlands,52.383627,4.9022672,4.2,2584.0,113.0,99.0,269.0,733.0,1370.0,€€
Camperduin Strandpaviljoen STRUIN,Restaurant,"Heereweg 407, 1871 GL Schoorl",Amsterdam,Netherlands,52.7253233,4.640891,4.3,2393.0,54.0,51.0,240.0,933.0,1115.0,
The Student Hotel Amsterdam West,Hotel,"van de Sande Bakhuijzenstraat 4, 1061 AG Amsterdam",Amsterdam,Netherlands,52.3720709,4.8362097,4.2,2337.0,111.0,91.0,269.0,683.0,1183.0,
Maremagnum,Shopping mall,"Moll d'Espanya, 5, 08039 Barcelona",Barcelona,Spain,41.3746496,2.1823721,4.2,35291.0,853.0,1134.0,5427.0,11492.0,16385.0,€€
Hard Rock Cafe,American restaurant,"Pl. de Catalunya, 21, 08002 Barcelona",Barcelona,Spain,41.3858942,2.1707583,4.3,16975.0,510.0,516.0,1644.0,4340.0,9965.0,€€
Flax&Kale,Health food restaurant,"Carrer dels Tallers, 74b, 08001 Barcelona",Barcelona,Spain,41.3851935,2.1655342,4.3,8897.0,397.0,368.0,787.0,2257.0,5088.0,€€
Centre Comercial El Triangle,Shopping mall,"Pl. de Catalunya, 1, 4, 08002 Barcelona",Barcelona,Spain,41.3858752,2.1691163,4.0,8261.0,217.0,341.0,1689.0,3058.0,2956.0,
7 Portes,Catalonian restaurant,"Passeig d'Isabel II, 14, 08003 Barcelona",Barcelona,Spain,41.3821373,2.183273,4.1,7974.0,573.0,379.0,824.0,2177.0,4021.0,€€€
Colom Restaurant,Mediterranean restaurant,"Carrer dels Escudellers, 33, 08002 Barcelona",Barcelona,Spain,41.37985279999999,2.1765,4.6,7629.0,278.0,151.0,333.0,808.0,6059.0,€€
La Fonda,Restaurant,"Carrer dels Escudellers, 10, 08002 Barcelona",Barcelona,Spain,41.3794778,2.1762819,4.0,6059.0,491.0,307.0,769.0,1823.0,2669.0,€€
Els 4Gats,Restaurant,"Carrer de Montsió, 3, 08002 Barcelona",Barcelona,Spain,41.38580959999999,2.1735743,4.0,5519.0,412.0,270.0,665.0,1589.0,2583.0,€€
L'Ovella Negra Ramblas,Restaurant,"Carrer de les Sitges, 5, 08001 Barcelona",Barcelona,Spain,41.3844502,2.1695677,4.2,5477.0,154.0,181.0,777.0,1772.0,2593.0,€
Teresa Carles,Vegetarian restaurant,"C/ de Jovellanos, 2, 08001 Barcelona",Barcelona,Spain,41.3851402,2.1680273,4.4,5476.0,179.0,156.0,428.0,1414.0,3299.0,€€
Hard Rock Cafe,American restaurant,"Kurfürstendamm 224, 10719 Berlin",Berlin,Germany,52.5030902,13.3294058,4.3,14796.0,433.0,453.0,1578.0,3913.0,8419.0,€€
Restaurant Maximilians Berlin,Bavarian restaurant,"Friedrichstraße 185-190, 10117 Berlin",Berlin,Germany,52.5113326,13.389205,4.3,7035.0,187.0,185.0,658.0,2195.0,3810.0,€€
Rausch Schokoladenhaus,Chocolate shop,"Charlottenstraße 60, 10117 Berlin",Berlin,Germany,52.51203049999999,13.3910811,4.6,6603.0,93.0,85.0,308.0,1248.0,4869.0,
AMRIT,Indian restaurant,"Ebertstraße 14, 10117 Berlin",Berlin,Germany,52.5105,13.37717,4.3,5831.0,236.0,172.0,489.0,1446.0,3488.0,€€
Amrit,Indian restaurant,"Oranienburger Str. 45, 10117 Berlin",Berlin,Germany,52.5259176,13.3898183,4.4,4955.0,130.0,125.0,436.0,1287.0,2977.0,€€
Dreh-Restaurant Sphere im Berliner Fernsehturm,German restaurant,"Alexanderplatz, Panoramastraße 1A, 10178 Berlin",Berlin,Germany,52.5208204,13.4093677,4.4,4561.0,106.0,133.0,291.0,1169.0,2862.0,€€€
Cocolo,Ramen restaurant,"Graefestraße 11, 10967 Berlin",Berlin,Germany,52.4938239,13.4180273,4.4,4238.0,126.0,139.0,318.0,899.0,2756.0,€€
House of Small Wonder,Restaurant,"Auguststraße 11-13, 10117 Berlin",Berlin,Germany,52.52640719999999,13.3944188,4.3,3764.0,173.0,129.0,304.0,821.0,2337.0,€€
Hotel nhow Berlin,Hotel,"Stralauer Allee 3, 10245 Berlin",Berlin,Germany,52.50138,13.44964,4.3,3535.0,143.0,117.0,283.0,1000.0,1992.0,
AMRIT Restaurant Schoneberg,Indian restaurant,"Winterfeldtstraße 40, 10781 Berlin",Berlin,Germany,52.4972838,13.3549267,4.4,3240.0,109.0,87.0,246.0,735.0,2063.0,€€
KÖ Shopping Mall,Shopping mall,"Königsallee 60, 40212 Düsseldorf",Düsseldorf,Germany,51.2221409,6.7795502,4.3,11911.0,244.0,292.0,1524.0,3697.0,6154.0,
Uerige,Brewpub,"Berger Str. 1, 40213 Düsseldorf",Düsseldorf,Germany,51.2249992,6.7722509,4.5,10276.0,297.0,173.0,628.0,2545.0,6633.0,€€
Takumi,Ramen restaurant,"Immermannstraße 28, 40210 Düsseldorf",Düsseldorf,Germany,51.2236177,6.788777,4.6,5347.0,134.0,101.0,293.0,932.0,3887.0,€€
Okinii Düsseldorf City,Sushi restaurant,"Immermannstraße 35, 40210 Düsseldorf",Düsseldorf,Germany,51.22333,6.788246,4.1,4625.0,341.0,249.0,506.0,1209.0,2320.0,€€
